"","GeneName","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Cancer_vs_Normal","B"
"3696554","TMED6",1.64941251111111,4.57247005555556,5.66032612301014,1.47719966650139e-07,2.90568738689562e-06,-1.64941251111111,7.0205045803413
"3580769","CKB",1.31288488888889,7.52892388888889,5.62404391707687,1.73247198820402e-07,3.30159661752023e-06,-1.31288488888889,6.86655121399925
"2709750","SST",2.11546871111111,7.30386046666667,5.62358294725721,1.73597889491986e-07,3.30541794602777e-06,-2.11546871111111,6.86459844388021
"3105600","CA2",1.971451,9.03203774444444,5.61335587443673,1.81559953073467e-07,3.42024965245947e-06,-1.971451,6.82129523522754
"2597347","ACADL",1.05070244444444,3.24409606666667,5.57924971657581,2.10790095957333e-07,3.87934849675323e-06,-1.05070244444444,6.67717490976495
"3168066","CA9",1.41603555555555,7.26302642222222,5.55091166179542,2.3854802888339e-07,4.31090366482126e-06,-1.41603555555555,6.55777205434964
"3541450","RDH12",1.07733451111111,5.23423974444444,5.53258015016396,2.58381716295699e-07,4.60878440630845e-06,-1.07733451111111,6.48069957805089
"2399743","AKR7A3",1.23698846666667,8.09638403333333,5.49174914283195,3.08549565211929e-07,5.33502315780029e-06,-1.23698846666667,6.30950900720799
"2648074","AADAC",1.79126984444444,4.79114974444444,5.47943608813757,3.25469966648977e-07,5.58372520335981e-06,-1.79126984444444,6.25801511950393
"3722129","CNTD1",1.01020877777778,4.16442305555556,5.47804206134197,3.27441983765312e-07,5.60445218091623e-06,-1.01020877777778,6.25218905753387
"3919278","CLIC6",1.28928451111111,6.04685378888889,5.45117019564614,3.67826051281417e-07,6.18032001126357e-06,-1.28928451111111,6.14003656283635
"2602770","DNER",1.02805026666667,4.92756524444444,5.42054635336588,4.1981402571077e-07,6.86007907937621e-06,-1.02805026666667,6.01258231400466
"2854092","LIFR",1.48791835555555,5.62685373333333,5.3552738627943,5.55784249142358e-07,8.71322443580659e-06,-1.48791835555555,5.74221133190965
"3301141","CYP2C8",1.18654431111111,3.30664226666667,5.35157238691459,5.64669600469629e-07,8.82737398859162e-06,-1.18654431111111,5.72693225601297
"3868841","KLK11",1.16245871111111,6.28896791111111,5.34300610651759,5.85769332613591e-07,9.08735833351705e-06,-1.16245871111111,5.69159413656219
"3396084","VSIG2",1.4264044,7.94333806666667,5.31785358668082,6.52280441687164e-07,9.91529337153051e-06,-1.4264044,5.58801225303997
"4002081","MAP7D2",1.0618116,4.37024431111111,5.2037320242687,1.05917801917169e-06,1.48683465433597e-05,-1.0618116,5.12144677516142
"2917825","FUT9",1.23552895555555,3.84870472222222,5.17153915733829,1.2132235298461e-06,1.66485430894279e-05,-1.23552895555555,4.99085969328925
"2385012","CAPN9",1.1690032,5.47972406666667,5.1315771941628,1.43510361087146e-06,1.91326866013881e-05,-1.1690032,4.82939970191718
"3406880","PIK3C2G",1.34158124444444,4.67081682222222,5.03414458521042,2.15522912130619e-06,2.67864190790913e-05,-1.34158124444444,4.43877088226618
"3025433","AKR1B15",2.21613791111111,6.55184831111111,5.00626453673281,2.41937231157121e-06,2.90998928688492e-05,-2.21613791111111,4.32779861224053
"3390852","C11orf92",1.01363626666667,6.30039522222222,4.96407542709857,2.88004790983691e-06,3.36300979010187e-05,-1.01363626666667,4.16056418325708
"3863640","CXCL17",1.85802111111111,7.56069095555556,4.92237438771098,3.41888308359733e-06,3.86507629959224e-05,-1.85802111111111,3.99609367804715
"3920850","KCNJ15",1.09353142222222,5.71316724444444,4.89730980524988,3.78870412734986e-06,4.18220494218144e-05,-1.09353142222222,3.89763903242776
"2862841","GCNT4",1.38532906666666,5.26051486666667,4.89264526970603,3.86169879371061e-06,4.24999260741821e-05,-1.38532906666666,3.87935002605636
"2953751","PGC",1.86240506666666,11.6925164444444,4.83321097380052,4.92041609113545e-06,5.19095437240382e-05,-1.86240506666666,3.64724389162591
"3692999","MT1G",1.59836842222222,10.0587075444444,4.7755877997324,6.21362117651388e-06,6.34065905035915e-05,-1.59836842222222,3.42387278056784
"3055765","TRIM50",1.04555911111111,4.59914584444444,4.72680537615519,7.56157949365503e-06,7.46693253633203e-05,-1.04555911111111,3.23607187577581
"2845351","LOC25845",1.05283464444444,6.81558012222222,4.69821326393773,8.47933705722468e-06,8.22196863288865e-05,-1.05283464444444,3.12656014868381
"3662201","MT1H",1.21650402222222,6.50207603333333,4.50178209520072,1.84284943139264e-05,0.000157220770675905,-1.21650402222222,2.38570851330567
"3986647","VSIG1",1.99349211111111,7.91137438888889,4.43971049379794,2.34578146579127e-05,0.000192158913309552,-1.99349211111111,2.15589126009056
"2498274","C2orf40",1.29588977777778,6.59419486666667,4.43113325902831,2.42494451770058e-05,0.000197598162349915,-1.29588977777778,2.12430039253602
"3973891","SYTL5",1.09423464444444,4.8848395,4.39164777802218,2.82388076356401e-05,0.00022431049977195,-1.09423464444444,1.97939601666148
"2772414","SULT1B1",1.37715206666666,6.39698743333333,4.3107853927131,3.8477434028274e-05,0.00029034172108205,-1.37715206666666,1.6853682775703
"4000538","FIGF",1.33348931111111,4.4981597,4.26424529060727,4.59048208290769e-05,0.000337365947001272,-1.33348931111111,1.51782441436426
"2957342","GSTA1",1.24389502222222,5.00833511111111,4.23113926717967,5.20090400504298e-05,0.000374536540867683,-1.24389502222222,1.39940189693965
"2587790","GPR155",1.06433213333333,5.90319128888889,4.22121054947737,5.39871089269955e-05,0.000386693867423397,-1.06433213333333,1.36401009761851
"2751009","ANXA10",1.66331373333333,7.38101555555556,4.04005694620667,0.000105671630198025,0.000678313867684083,-1.66331373333333,0.728501131009562
"2772127","UGT2B15",1.20761364444444,4.23394531111111,4.02534601831253,0.000111505446550853,0.00071058088709636,-1.20761364444444,0.677759487983988
"3748957","ALDH3A1",1.05554971111111,7.04747865555556,3.99969937035892,0.000122420827751029,0.000764860868472294,-1.05554971111111,0.58961459841447
"3376512","HRASLS2",1.25418457777778,5.08019953333333,3.9883498401367,0.000127571138296453,0.000792316118804525,-1.25418457777778,0.550736470844821
"3921992","FAM3B",1.12714884444444,7.18263255555556,3.9776940140313,0.000132594846598041,0.0008172907220581,-1.12714884444444,0.514306982714262
"2794408","HPGD",1.17645206666666,6.95726432222222,3.91550369144587,0.000165905880876218,0.000986427429488504,-1.17645206666666,0.303101466268081
"3933559","TFF1",1.5498486,10.8991073,3.84566029855841,0.000212821380718559,0.00121546741333581,-1.5498486,0.0688015569833018
"3662106","MT1A",1.0049242,7.81545063333333,3.75028891503251,0.00029763588994794,0.00161400925687216,-1.0049242,-0.246098863358413
"2672140","LTF",1.06309975555556,6.70366227777778,3.74360473159561,0.00030465370383873,0.00164719544956873,-1.06309975555556,-0.267947985420972
"2429556","CASQ2",1.11320957777778,5.3804145,3.55801867192352,0.000575589573548933,0.00276622316667807,-1.11320957777778,-0.862780084943993
"3063589","AZGP1",1.19409511111111,7.11556057777778,3.51736933680448,0.000659782757827776,0.00310508408863527,-1.19409511111111,-0.98997219324978
"2498911","SULT1C2",1.15594304444444,6.5995403,3.50290879997249,0.000692442282990554,0.00323243024033419,-1.15594304444444,-1.03494645229463
"2779271","ADH1C",1.12558224444444,8.80496898888889,3.48763610093715,0.000728588994048906,0.00337265454216834,-1.12558224444444,-1.08229037994004
"2902089","DPCR1",1.445839,6.57703294444444,3.46169203840262,0.000794101566868765,0.00361733642142972,-1.445839,-1.16234511410512
"3274758","AKR1C2",1.08653811111111,6.78567661111111,3.43215451085478,0.000875433314022874,0.0039300760095773,-1.08653811111111,-1.25291915049286
"2941972","C6orf105",1.01951564444444,5.86995444444444,3.40405940736332,0.00096001485355213,0.00423634461538411,-1.01951564444444,-1.33850474650776
"2965206","EPHA7",1.02944973333333,4.74119051111111,3.39829429872516,0.000978295542272114,0.00430837598658493,-1.02944973333333,-1.35599843203019
"2772566","IGJ",1.0286708,11.1332496888889,3.28434709360606,0.00141408153764097,0.00589048991767893,-1.0286708,-1.69692862869243
"2779231","ADH1B",1.04406104444444,5.68507921111111,3.19555312671684,0.00187328407800001,0.00746431133976435,-1.04406104444444,-1.95613420693166
"3783565","TTR",1.05414037777778,5.64773596666667,3.16287170792308,0.00207483400947736,0.00813487199547668,-1.05414037777778,-2.05008912203863
"3374890","TCN1",1.23850211111111,6.66430421111111,3.1295752690662,0.00230080363280398,0.00886762191589012,-1.23850211111111,-2.14500288836816
"3142381","FABP4",1.3690592,4.73038475555556,3.04164656557299,0.00301218493785998,0.0111243628636302,-1.3690592,-2.39168490266205
"2644418","CLDN18",1.05280533333333,9.37317873333333,3.03592941914358,0.00306485762683777,0.0112734928516588,-1.05280533333333,-2.40752351488519
"3756566","KRT20",1.11305026666667,7.06292335555556,2.89626447352073,0.00464840432071135,0.016042023754026,-1.11305026666667,-2.78672622510125
