"","GeneName","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Cancer_vs_Normal","B"
"3504617","SKA3",-1.66943286666666,3.43234603333333,-11.0489793443781,5.75441484871906e-19,4.87155481673674e-16,1.66943286666666,32.6211666372004
"2830638","KIF20A",-1.60363266666666,4.09717004444444,-11.0305439593449,6.30843004067209e-19,5.14277235649012e-16,1.60363266666666,32.5315009184587
"2710599","CLDN1",-2.52227846666666,5.53906481111111,-11.0167284268656,6.75838204567186e-19,5.31281240026012e-16,2.52227846666666,32.4642921487529
"3720896","CDC6",-2.41892331111111,4.69717854444444,-11.0040161878456,7.20076405204257e-19,5.46537991550031e-16,2.41892331111111,32.4024408405506
"2997376","ANLN",-1.93415702222222,4.89031457777778,-10.9565858260087,9.12324517427288e-19,6.69372498436401e-16,1.93415702222222,32.1715874845625
"3589697","BUB1B",-1.56416404444444,3.29881,-10.9052088390844,1.17903784858397e-18,8.37154905973607e-16,1.56416404444444,31.9213839184887
"3139950","LACTB2",-1.59448831111111,4.49957528888889,-10.8180165550718,1.8225394368677e-18,1.25362236077797e-15,1.59448831111111,31.4964394442496
"3607537","FANCI",-1.74016231111111,4.79178593333333,-10.8099652231009,1.89736462145038e-18,1.26554220250741e-15,1.74016231111111,31.4571803569822
"3762198","COL1A1",-2.31061371111111,9.14647763333333,-10.7642571485194,2.38438049227578e-18,1.54360585339654e-15,2.31061371111111,31.2342422759929
"3631964","PKM2",-1.41719644444444,8.93336908888889,-10.7375280579472,2.72532750598316e-18,1.71391953526272e-15,1.41719644444444,31.1038258612055
"2720251","NCAPG",-1.65931746666666,4.14192017777778,-10.6714053299959,3.79370297420119e-18,2.31953322680951e-15,1.65931746666666,30.7810566138248
"2411228","STIL",-1.70093797777778,3.52192656666667,-10.6468097272536,4.29056623952069e-18,2.55242306751595e-15,1.70093797777778,30.6609460144068
"3536336","CDKN3",-1.93281557777778,4.74662483333333,-10.597330565565,5.49634906914005e-18,3.18368787791688e-15,1.93281557777778,30.4192391930686
"3151534","ATAD2",-1.54635991111111,4.58335084444444,-10.5604626999426,6.61066741018519e-18,3.73095898373298e-15,1.54635991111111,30.2390722815735
"3689880","SHCBP1",-1.65043755555555,4.17773533333333,-10.5476075628397,7.05025014353753e-18,3.87957639773512e-15,1.65043755555555,30.1762385148324
"3607510","FANCI",-1.92561784444444,4.34741723333333,-10.5290103541878,7.73850333322843e-18,4.15444382604124e-15,1.92561784444444,30.0853269111241
"3394412","THY1",-2.1910846,7.05426636666667,-10.482030481209,9.79197498656364e-18,5.1316943197441e-15,2.1910846,29.8556088275328
"3485074","RFC3",-1.62191488888889,5.34594891111111,-10.3445435591934,1.95062673518502e-17,9.984940713525e-15,1.62191488888889,29.1828874822303
"3401804","RAD51AP1",-1.86930771111111,4.73308994444444,-10.2966696158798,2.47998641416526e-17,1.24061320368617e-14,1.86930771111111,28.9484987331536
"3258168","KIF11",-1.75265275555555,3.16731673333333,-10.2637494691915,2.92528440627824e-17,1.43085411259089e-14,1.75265275555555,28.7872848095887
"2584134","FAP",-2.49934513333333,3.7454921,-10.2495175095606,3.14178840081139e-17,1.50334574978825e-14,2.49934513333333,28.7175800073404
"2398706","MFAP2",-1.73656373333333,6.31219373333333,-10.1676289492484,4.73844005794499e-17,2.21910221522185e-14,1.73656373333333,28.3164091720033
"3333226","FEN1",-1.21182337777778,6.08694013333333,-10.1175834404103,6.09154965606355e-17,2.79335623915864e-14,1.21182337777778,28.0711607492613
"3150715","DSCC1",-1.49192002222222,2.92275254444444,-10.1035003167546,6.53778477904302e-17,2.93679960758196e-14,1.49192002222222,28.0021369057562
"2570616","BUB1",-1.68079344444444,4.40200003333333,-10.0964925343201,6.7718750566952e-17,2.98111483745836e-14,1.68079344444444,27.9677890916035
"3653072","PLK1",-1.60385402222222,6.01170701111111,-10.0131122645718,1.02924589077828e-16,4.44210417684722e-14,1.60385402222222,27.5590429818888
"3134034","PRKDC",-1.39968977777778,6.59200548888889,-9.9893960437842,1.15941716158963e-16,4.90767906610564e-14,1.39968977777778,27.4427610960538
"3291435","RTKN2",-1.50271182222222,2.94750482222222,-9.94733040044467,1.43213409442687e-16,5.94263420335473e-14,1.50271182222222,27.2364922009392
"2378937","DTL",-1.62280984444444,4.85276374444444,-9.94377742251451,1.45791761837788e-16,5.94263420335473e-14,1.62280984444444,27.2190691644437
"3590014","CASC5",-1.53133195555555,3.685006,-9.92675643992726,1.58802621434974e-16,6.35528090982764e-14,1.53133195555555,27.1355999485145
"2687979","KIAA1524",-1.50993182222222,2.88354348888889,-9.90636652215144,1.75926711949017e-16,6.91486224412466e-14,1.50993182222222,27.0356057313715
"3312490","MKI67",-1.70044573333333,5.01938437777778,-9.8195467293098,2.72091296903022e-16,1.0415843730615e-13,1.70044573333333,26.6097928686483
"2926802","MYB",-1.96047877777778,4.90872583333333,-9.81781940536241,2.74462285391698e-16,1.0415843730615e-13,1.96047877777778,26.6013205948739
"3504193","GJB2",-1.46223315555555,5.55850633333333,-9.80655067221948,2.90445497815304e-16,1.07049568172332e-13,1.46223315555555,26.5460487300635
"3090697","CDCA2",-1.28547337777778,3.92173211111111,-9.80561929292377,2.91807464010718e-16,1.07049568172332e-13,1.28547337777778,26.541480393078
"3765580","BRIP1",-1.56296451111111,3.6351971,-9.75142457725707,3.83106915459776e-16,1.38238792068609e-13,1.56296451111111,26.2756546353152
"3239891","PDSS1",-1.56824548888889,6.96603981111111,-9.730413051325,4.25751256831121e-16,1.51148563130803e-13,1.56824548888889,26.1725911356489
"3013054","COL1A2",-1.92167222222222,9.04241551111111,-9.71229927254091,4.66305318839219e-16,1.6291819639635e-13,1.92167222222222,26.0837411859749
"3102372","SULF1",-2.0644818,6.21559961111111,-9.70283129947799,4.89017311192678e-16,1.68183750572844e-13,2.0644818,26.0372998550851
"2417528","DEPDC1",-1.74845126444444,3.12173383444444,-9.6946230337531,5.09600720440171e-16,1.72566483963209e-13,1.74845126444444,25.9970375872945
"3587457","ARHGAP11A",-2.01181664444444,4.03793661111111,-9.6744532623666,5.63934519179224e-16,1.88072162146271e-13,2.01181664444444,25.898103574864
"3248289","CDK1",-1.90918215555555,3.35573652222222,-9.66291231702264,5.97590878293903e-16,1.96321982419807e-13,1.90918215555555,25.8414949542128
"3167110","ANXA2P2",-1.35977095555555,9.47361896666667,-9.65448217379005,6.23437905579692e-16,2.00736200100013e-13,1.35977095555555,25.8001451637756
"3880827","GINS1",-1.53183442222222,5.27136678888889,-9.65262928502032,6.2926708495302e-16,2.00736200100013e-13,1.53183442222222,25.7910567923244
"3743551","CLDN7",-2.68560791111111,6.97683586666667,-9.61381733299736,7.64708148241269e-16,2.40457015013408e-13,2.68560791111111,25.6006887305373
"3137875","GGH",-2.0740474,4.88751183333333,-9.59537599885268,8.38919532716919e-16,2.60076870910311e-13,2.0740474,25.5102391144642
"2985781","THBS2",-1.86908986666667,6.73903548888889,-9.48522241221758,1.45867650349934e-15,4.45929562757278e-13,1.86908986666667,24.9700284080844
"2450345","KIF14",-1.34132675555555,2.88085644444444,-9.46062618228654,1.65041383391787e-15,4.97633683539264e-13,1.34132675555555,24.8494239338273
"3046444","SFRP4",-2.83125086666666,6.14459378888889,-9.45434077036053,1.70332692453092e-15,5.06647688322297e-13,2.83125086666666,24.8186056158425
"2955827","PLA2G7",-1.88128242222222,5.90888432222222,-9.43176583119466,1.90774230221434e-15,5.59884210853865e-13,1.88128242222222,24.7079223307002
"3373845","SLC43A3",-1.21065102222222,6.42908975555556,-9.41758591543427,2.04849653777047e-15,5.93282332800867e-13,1.21065102222222,24.6384034782452
"3252036","PLAU",-1.4934936,6.52909886666667,-9.3423908829911,2.98779000739054e-15,8.34411497224689e-13,1.4934936,24.269812363103
"3726934","NME1",-1.48908415555555,7.40021778888889,-9.34107264837984,3.00762152883797e-15,8.34411497224689e-13,1.48908415555555,24.2633516629214
"2858592","DEPDC1B",-1.40847491111111,5.20229894444444,-9.33941754220267,3.03270727263528e-15,8.34411497224689e-13,1.40847491111111,24.2552400007543
"2388219","EXO1",-1.47631528888889,4.4817314,-9.31223721777222,3.47589126197622e-15,9.36196164193289e-13,1.47631528888889,24.1220382590345
"3603436","CHRNA5",-1.82578028888889,3.8091209,-9.3115604820529,3.48771457288854e-15,9.36196164193289e-13,1.82578028888889,24.1187220196417
"2449559","ASPM",-1.37860957777778,2.99726243333333,-9.29977869970219,3.70011506235571e-15,9.81243766717006e-13,1.37860957777778,24.0609889590848
"3178583","CKS2",-2.10474948888889,5.64481172222222,-9.2852368269239,3.98017460599518e-15,1.04294789586381e-12,2.10474948888889,23.9897355879908
"2809245","ITGA2",-1.71812322222222,5.81409141111111,-9.27377421895425,4.21577691559871e-15,1.09168783163815e-12,1.71812322222222,23.9335739898404
"2334098","KIF2C",-1.49497791111111,3.9705188,-9.25740601528727,4.57655998803282e-15,1.17133327786733e-12,1.49497791111111,23.8533831309417
"3528864","MMP14",-1.31970031111111,7.53362486666667,-9.24132337094727,4.96107133884455e-15,1.25515104872767e-12,1.31970031111111,23.7745983226254
"2520429","MYO1B",-1.4578444,5.98332726666667,-9.23534268668252,5.11215125592888e-15,1.27867683288921e-12,1.4578444,23.7453022956469
"3484641","BRCA2",-1.29746995555555,2.8417792,-9.22676827288554,5.33680436953801e-15,1.319869673909e-12,1.29746995555555,23.7033028118887
"3996667","DKC1",-1.26633148888889,6.43799583333333,-9.18326057526488,6.63803030005888e-15,1.6233822949395e-12,1.26633148888889,23.4902255077013
"3435362","KNTC1",-1.41072993333333,4.02500772222222,-9.18106408567799,6.71154372084386e-15,1.6233822949395e-12,1.41072993333333,23.4794698274371
"2519577","COL3A1",-1.96112415555555,8.69584687777778,-9.1728817152338,6.99262446093589e-15,1.67298540227891e-12,1.96112415555555,23.4394040855929
"3108489","LAPTM4B",-1.32367135555555,7.65513181111111,-9.15699387075975,7.57241844085318e-15,1.79222045485612e-12,1.32367135555555,23.3616139763596
"3598721","ZWILCH",-1.50501691111111,3.69706878888889,-9.1436276399885,8.09721372890451e-15,1.89604012113742e-12,1.50501691111111,23.296176700579
"3007960","CLDN4",-2.42114191111111,6.72216722222222,-9.13516210616291,8.44822422222499e-15,1.95740908795152e-12,2.42114191111111,23.2547349944784
"3936913","CDC45",-1.26530948888889,4.82424958888889,-9.12841700108995,8.73874462099895e-15,2.00363029013342e-12,1.26530948888889,23.2217171584524
"3995633","BGN",-1.74640802222222,7.58024976666667,-9.11118212865806,9.52719378897814e-15,2.16188724215668e-12,1.74640802222222,23.137358368104
"3250863","SGPL1",-1.15633024444444,7.45371567777778,-9.10770231950791,9.69480559581033e-15,2.17747312213654e-12,1.15633024444444,23.1203271913062
"3976341","TIMP1",-1.97012771111111,10.0169360555556,-9.08885175698701,1.06552994020171e-14,2.36902823371513e-12,1.97012771111111,23.0280749166489
"3124537","CTSB",-1.48415762222222,9.32097103333333,-9.061054716815,1.22476529949138e-14,2.69583090071047e-12,1.48415762222222,22.8920642720999
"3340269","POLD3",-1.3149612,5.43159737777778,-9.05155470424054,1.28446485120332e-14,2.79924315245903e-12,1.3149612,22.8455877319649
"3440598","FOXM1",-1.40464922222222,5.4288379,-9.03998035541543,1.36113953932533e-14,2.93725905883235e-12,1.40464922222222,22.7889678971871
"2914777","TTK",-1.49540966666666,3.28300407777778,-9.02888316431021,1.43894038423542e-14,3.07500163081611e-12,1.49540966666666,22.734687382709
"2413423","TMEM48",-1.30477533333333,4.89646348888889,-9.02399204394359,1.47462622211752e-14,3.09507189586271e-12,1.30477533333333,22.7107647046576
"3409605","FAR2",-1.74753108888889,5.26403823333333,-9.02374456014313,1.47645517725494e-14,3.09507189586271e-12,1.74753108888889,22.7095542774528
"2451200","UBE2T",-1.48263431111111,4.88688166666667,-9.01928945604744,1.50976934775838e-14,3.13505029372733e-12,1.48263431111111,22.6877650929921
"3604147","KIAA1199",-1.89037682222222,4.61046181111111,-8.99812114924259,1.67860704308589e-14,3.43255293451378e-12,1.89037682222222,22.5842459310506
"3911217","PMEPA1",-1.38726833333333,6.61024545555556,-8.99600553463766,1.69648406768498e-14,3.43255293451378e-12,1.38726833333333,22.5739010267563
"3061997","PON2",-1.28474526666667,7.78804734444444,-8.9956127417584,1.69982404189724e-14,3.43255293451378e-12,1.28474526666667,22.5719803748934
"2395490","ENO1",-1.48924706666666,10.0753165111111,-8.98158512852939,1.82350533275279e-14,3.64883417083834e-12,1.48924706666666,22.5033935707418
"3322775","LDHA",-1.105592,10.7430837777778,-8.97806815018417,1.85589810264922e-14,3.68019577814522e-12,1.105592,22.4861989825004
