"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000166292.12",-3.74051491516865,0.805621280984073,688.616532685153,5.61495340035148e-100,1.84517577741732e-97,TRUE
"ENSG00000111846.19",-3.71868853643236,1.95137595449256,711.663978250807,7.38309424555918e-100,2.38289366775422e-97,TRUE
"ENSG00000165072.10",-4.48121458430409,1.56755835307111,696.757392366708,1.13746668816277e-99,3.60676717927261e-97,TRUE
"ENSG00000183476.12",-3.79391121870844,0.0370804675118255,637.792762140346,1.27450949541687e-99,3.9716352793387e-97,TRUE
"ENSG00000274736.5",-3.09233565729766,-0.847825579138505,598.925921957632,2.77146368147505e-99,8.49007365745423e-97,TRUE
"ENSG00000078549.15",-3.90973749959253,-0.385035202786448,602.053411256639,9.48659974462044e-99,2.85768006307116e-96,TRUE
"ENSG00000240498.9",-4.57014902099219,2.63117394046971,694.023065390742,3.88381216862058e-98,1.15075444484669e-95,TRUE
"ENSG00000150593.18",-2.01015258802595,6.69646088709311,691.488951739105,5.00482938404831e-98,1.45898848850466e-95,TRUE
"ENSG00000115593.15",-4.50066664167315,0.157446409617969,607.60536486658,5.54025831534181e-98,1.58943855224584e-95,TRUE
"ENSG00000269404.7",-4.54886190104225,2.63679563004613,676.47436841854,1.82970734371113e-96,5.08771238926693e-94,TRUE
"ENSG00000170091.11",-3.87222287411019,-0.16331769520209,595.516891504231,4.90489937884392e-96,1.32315151303321e-93,TRUE
"ENSG00000186198.4",-4.11792668959735,3.46633856854614,669.52798833629,9.14041627602499e-96,2.42946887901288e-93,TRUE
"ENSG00000160712.13",-2.75665099203623,4.23687230626377,664.573711470982,2.03717456728615e-95,5.33621639552606e-93,TRUE
"ENSG00000103375.11",-6.96409052741699,6.81590155623085,662.830523720123,3.12208251162972e-95,8.06121704502792e-93,TRUE
"ENSG00000104267.10",-4.74342165889472,7.39245224597023,660.142868575633,4.91721971827624e-95,1.25174407307218e-92,TRUE
"ENSG00000156284.6",-5.7130252920141,2.43827854769804,630.565278666245,2.7911262281072e-93,7.00650214539021e-91,TRUE
"ENSG00000187699.10",-3.55430068151224,4.19202413512368,630.396917419463,4.64304396079644e-92,1.14956680201965e-89,TRUE
"ENSG00000133800.9",-4.07898715895553,2.76895083849887,631.595730532195,4.77566289174699e-92,1.16642339331669e-89,TRUE
"ENSG00000084674.15",-7.02819783609713,4.20772169374836,621.478654770181,2.20624184745338e-91,5.31674868678299e-89,TRUE
"ENSG00000147883.12",-3.26905300206971,4.77186775180921,616.890193200436,9.46182789601932e-91,2.22094905704744e-88,TRUE
"ENSG00000133742.14",-6.79347953747441,6.58611263538683,616.19247917001,1.20329333628803e-90,2.78824663590639e-88,TRUE
"ENSG00000168309.18",-3.43108276178617,2.32171968413408,615.739512131889,1.76963958389751e-90,4.04866656194475e-88,TRUE
"ENSG00000149575.9",-3.49229786605783,-0.526095947909345,535.272885184657,8.38718550196218e-90,1.89487488453081e-87,TRUE
"ENSG00000141338.14",-4.385759085781,2.31001551004927,605.817458182227,1.24736094258449e-89,2.78330884892247e-87,TRUE
"ENSG00000068976.14",-3.82240261798463,1.24025514766216,596.864722208682,1.36059188870628e-89,2.99894363371675e-87,TRUE
"ENSG00000168060.16",-3.46899794784939,3.06383568732249,604.761817768137,2.13855411569404e-89,4.65689482976556e-87,TRUE
"ENSG00000175161.14",-3.87065534248311,-0.877490735059192,501.506756989657,6.51800535922995e-89,1.38595798662026e-86,TRUE
