"GeneSymbol","logFC_COAD","PValue_COAD","FDR_COAD","logFC_READ","PValue_READ","FDR_READ"
"B4GALNT2",-4.14028083355931,2.05343124726047e-40,5.30195948042654e-39,-2.34643158756148,0.000111422711297485,0.000401045673661826
"B4GALNT4",2.60600725611399,8.07627679985831e-10,2.32474322154227e-09,3.24524437680568,5.81237278300293e-05,0.000226985253092603
"BBOX1-AS1",4.91079235223838,3.4023914651701e-36,6.95642797980592e-35,4.46858650033525,1.72122786695941e-06,1.01004721974683e-05
"BCAS1",-2.46926482376312,7.95040828427333e-38,1.80749282176046e-36,-2.42523350825858,1.7002856838502e-11,2.80858189636403e-10
"BCHE",-3.98013319662925,1.58416335553984e-78,2.12090136948349e-76,-4.75174567306136,3.03252740137556e-25,2.8158509616607e-23
"BEAN1",2.27547533798678,2.27173666724437e-11,7.59795864614632e-11,2.0213953255969,0.00317471516398971,0.00746053900522679
"BEND5",-2.30584243756601,1.93040703068501e-56,1.09717536706292e-54,-3.14102188825004,1.56838987070981e-33,3.90376595458201e-31
"BEST2",-3.76446414105019,4.63324026268192e-48,1.77417763787528e-46,-2.95644155510327,9.33075519941411e-09,9.21302831563087e-08
"BEST4",-5.96231340811163,2.72125382316708e-180,9.83678831998435e-177,-5.42924490930784,5.52946099198611e-51,9.9093470437383e-48
"BGN",2.54116329892033,3.33317070754982e-19,2.14226747552293e-18,2.65311786583158,1.29351299829845e-06,7.84999879529511e-06
"BIRC7",2.42640913056157,4.96553585309167e-12,1.76926303533411e-11,2.06622547594538,0.00230121313475666,0.00563619524230887
"BLACAT1",5.13175345519247,3.30546218557643e-45,1.10226796203152e-43,4.88710211985665,3.4478751947354e-13,7.38224269592032e-12
"BLK",-2.15063722034034,2.10309844742666e-21,1.61613100930227e-20,-2.92549028779068,1.22175366768734e-16,4.35289214286774e-15
"BMP3",-5.25581270168326,1.24950792859561e-106,5.64590157535927e-104,-4.8615778265653,1.3234005365666e-27,1.67018739547958e-25
"BMP5",-2.54669195346448,2.47901992959187e-36,5.1441798171577e-35,-2.53017905109244,9.0800786054527e-15,2.49194622799874e-13
"BMP7",3.2806428031813,1.12986597344382e-15,5.49547836491487e-15,2.9076254977605,2.3987581649415e-05,0.000104037137158559
"BOK-AS1",4.38994494836482,2.29061617333858e-10,6.93825988217221e-10,5.20750929343353,0.00159924084071456,0.00409628056601662
"BRINP3",-3.18978070408921,3.80453088110152e-29,4.92925384552178e-28,-3.34805237124015,1.9448531383754e-12,3.73966878678386e-11
"BRSK2",2.73113120259614,7.4907813857056e-13,2.87083084743942e-12,2.73060417280364,0.000257761836026511,0.000833216064832451
"BTBD16",3.65272205809157,5.44681598339518e-33,9.261124372896e-32,3.2172036206377,6.36637274486899e-09,6.49119041229989e-08
"BTNL8",-3.27633871540618,1.36938525646198e-50,5.97832587567483e-49,-2.4745828319188,1.45599356281184e-08,1.37620572991302e-07
"C11orf86",-3.72889525152205,4.19960712627638e-50,1.80293822328549e-48,-3.69321599739599,2.89778416658637e-17,1.11679978600848e-15
"C16orf89",-3.39068336475778,6.43630368460689e-66,5.46149074157676e-64,-3.99131082827199,4.03943398584241e-30,7.02822295730891e-28
"C1QTNF7",-2.46938514719868,5.53146945338818e-35,1.06470478062341e-33,-3.27674557537815,6.92448518556142e-22,4.71839159735537e-20
"C20orf204",2.42895631241406,6.81939167214285e-11,2.17801175264729e-10,3.27703189795454,0.000640588660065914,0.00183533003629756
"C2CD4A",4.3208594122943,2.83946982498191e-29,3.72157923253975e-28,4.23725493681819,9.09674420914854e-10,1.10673966715649e-08
"C2CD4B",2.48704858300309,8.51540893257659e-12,2.9671775794754e-11,2.58564886694199,0.000261905309895113,0.000845237719904614
"C2orf88",-3.55430068151224,4.64304396079644e-92,1.14956680201965e-89,-3.7027554684486,3.35319331919815e-29,5.04979642633194e-27
"C5orf46",5.9279695757866,1.81399367588166e-18,1.10316694811188e-17,5.75662420770923,1.95748477208453e-05,8.68859232383764e-05
"C6orf15",7.67106993583137,6.72843162262701e-15,3.08497395097312e-14,10.5485013892389,2.67054197759666e-05,0.000114686754805918
"C7",-3.61142140022319,4.4218808245293e-45,1.46107996384904e-43,-4.39326911732895,5.45879104195304e-21,3.20744243484723e-19
"C9orf50",2.69021984753156,5.6364734289646e-19,3.562014711717e-18,2.02350371480701,6.58816577531043e-07,4.28553607474912e-06
"CA1",-6.79347953747441,1.20329333628803e-90,2.78824663590639e-88,-6.1398284159547,2.65361644123458e-21,1.63984345666775e-19
"CA12",-2.21655850461922,1.75077002558949e-38,4.12560853226915e-37,-2.26335236536913,1.41744551571671e-13,3.26085251439784e-12
"CA2",-4.74342165889472,4.91721971827624e-95,1.25174407307218e-92,-4.81962690083683,1.57769990242381e-28,2.22629605916041e-26
"CA3-AS1",-2.88811621845598,3.12559891922226e-75,3.66831654974176e-73,-3.3545862244424,5.15612094079866e-34,1.32004061971504e-31
"CA4",-5.11565013313986,4.04730236540072e-62,2.8686644295001e-60,-3.55466597874002,3.68398757139066e-09,3.96520968569922e-08
"CA7",-5.7083625275327,2.93109411866664e-117,1.96209611484374e-114,-5.45841767557131,2.33739270023203e-36,7.4800740322961e-34
"CA9",5.71718092056472,1.67022646982839e-21,1.2911750733823e-20,4.96868604642116,9.65736201622424e-06,4.63869162939573e-05
"CACNG4",3.62333399844437,2.90885421103996e-11,9.61848353646839e-11,3.46644578815327,0.000391348954244818,0.00120297849211344
"CACNG8",3.55863516619273,8.55336225974976e-21,6.26137988994399e-20,3.26613894870412,4.31246020255925e-06,2.28042488315327e-05
"CADM3",-4.36937072958832,8.81655703864046e-104,3.46414025905191e-101,-5.0148928235967,4.65896543373308e-46,3.97587235894908e-43
"CADPS",2.22555865297638,2.59293530361635e-13,1.03317267807676e-12,2.30020465420508,2.82527364802108e-05,0.000120502430762272
"CALB1",5.50261382755046,3.35600495005103e-10,9.99611626025417e-10,4.06926866776549,0.0078424169387537,0.016476430710364
