"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000100721.11",-4.84536653718711,-0.0687172271798033,257.851077428149,1.64796488445676e-39,6.42025623790211e-37,TRUE
"ENSG00000182816.9",-5.03386403127219,-0.167702726349071,251.045379946231,1.70114166315715e-39,6.48641696711475e-37,TRUE
"ENSG00000079689.14",-4.83970478468173,0.991668728182773,281.266410630502,5.01107198354236e-39,1.87090460452214e-36,TRUE
"ENSG00000198300.14",-3.65988482691343,-0.543284023224643,252.458694158488,2.37651453813335e-38,8.69173817099752e-36,TRUE
"ENSG00000108018.15",-4.55118740207227,0.368561994423857,261.137105830532,6.26974328040061e-38,2.24720138656119e-35,TRUE
"ENSG00000205038.12",-3.71479584079112,-0.0781476876247771,259.96610067399,6.92020804992097e-38,2.43170683260066e-35,TRUE
"ENSG00000126950.8",-4.57888508885452,1.8224089897747,273.898703325921,8.14511520234306e-38,2.80708864502288e-35,TRUE
"ENSG00000198838.14",-2.72286109696172,0.714889977997118,265.662598905524,3.65692429294364e-37,1.23652340101591e-34,TRUE
"ENSG00000260230.5",-3.91906156002062,-0.926077742574268,223.949635036468,4.39155754623713e-37,1.45742782937251e-34,TRUE
"ENSG00000159176.14",-2.64356001799088,8.28806321899215,256.387007354727,1.94350292109502e-36,6.33263924526252e-34,TRUE
"ENSG00000168748.14",-5.45841767557131,2.78404449195447,257.278208428029,2.33739270023203e-36,7.4800740322961e-34,TRUE
"ENSG00000168497.5",-3.7651636627606,3.43563822395562,255.805376506355,2.3830828857331e-36,7.49249620968821e-34,TRUE
"ENSG00000154645.14",-3.96980415473248,-0.0403577883871753,238.660781678368,4.27931399614452e-36,1.32223424353286e-33,TRUE
"ENSG00000143603.19",-3.18140937466637,2.25656469842036,250.109277134214,9.05496574602846e-36,2.75040747685722e-33,TRUE
"ENSG00000150625.16",-5.4442293254559,1.523326997667,245.51143420946,1.19867659402776e-35,3.58024720692859e-33,TRUE
"ENSG00000135842.17",-4.15337390440219,4.76069203270888,245.233966002632,2.048544856893e-35,6.01835612793107e-33,TRUE
"ENSG00000165966.16",-5.01266886197865,1.37140757712745,244.103659539086,2.10659808709119e-35,6.08908779334858e-33,TRUE
"ENSG00000119147.10",-4.40150594470248,0.0319910446743642,229.768789066762,2.14864855425842e-35,6.11205249855001e-33,TRUE
"ENSG00000168309.18",-3.48710129588692,2.08652574227286,237.58255851966,1.36139665156703e-34,3.81212334261448e-32,TRUE
"ENSG00000135549.15",-4.00447678925502,3.77662501525412,236.260038866795,1.46305534822026e-34,4.03375613776236e-32,TRUE
"ENSG00000115263.15",-6.23186570910927,3.24365731875818,235.930527805596,2.08364254052526e-34,5.65772090435653e-32,TRUE
"ENSG00000259330.3",-2.08015935184678,4.00034986043684,233.197410768818,2.73824545897742e-34,7.32419356273646e-32,TRUE
"ENSG00000138669.9",-3.45501963603991,0.637627111613666,232.106534593419,3.08632907525925e-34,8.13383872907662e-32,TRUE
"ENSG00000164122.9",-5.16942598215241,0.462935664768081,216.550668868021,4.44066715895407e-34,1.15335066892197e-31,TRUE
"ENSG00000253549.6",-3.3545862244424,-0.408945003230778,216.068821672257,5.15612094079866e-34,1.32004061971504e-31,TRUE
"ENSG00000197321.15",-2.64255490356059,6.3882734789217,229.48941988021,6.07582202018001e-34,1.53358882286825e-31,TRUE
"ENSG00000162373.13",-3.14102188825004,-0.266450607599005,215.84933090982,1.56838987070981e-33,3.90376595458201e-31,TRUE
"ENSG00000048540.15",-4.79691624589654,2.62447130877811,225.660565576829,1.87215556024512e-33,4.59601367056888e-31,TRUE
"ENSG00000172260.15",-3.74833647847697,2.83251868414623,220.468094370451,5.22939188371059e-33,1.26643151281051e-30,TRUE
"ENSG00000139433.11",-1.54530406682478,5.33028148284472,219.793498727725,5.30223630016528e-33,1.26695168980349e-30,FALSE
"ENSG00000004799.8",-3.45321585547337,4.82483561607045,218.763236281395,6.74221644614639e-33,1.58983238067618e-30,TRUE
"ENSG00000071991.9",-4.78340280853407,0.581752771709606,210.019009786065,1.03674223158758e-32,2.41291656263391e-30,TRUE
"ENSG00000087258.16",-4.05927216117993,2.78812315995103,215.386262691398,1.70118434039261e-32,3.90858007233026e-30,TRUE
"ENSG00000168477.19",-4.26829483285933,3.81919945954969,214.502865997754,1.86719398469647e-32,4.2356941012336e-30,TRUE
"ENSG00000143196.5",-4.66525274202975,2.55454389932236,214.950100138782,2.06951856356634e-32,4.63598027220905e-30,TRUE
"ENSG00000181541.6",-4.24739427579954,2.40985684076099,208.403780986658,9.1334880209674e-32,2.0207560348612e-29,TRUE
"ENSG00000158445.10",-3.85462715617479,0.213760792167879,201.273301349396,1.16218156659588e-31,2.53993364084937e-29,TRUE
"ENSG00000116748.21",-3.66178020144222,-0.703346977469366,186.853248136006,1.3468636984698e-31,2.90808967955149e-29,TRUE
"ENSG00000141338.14",-4.59952300205988,2.47967147647482,206.329969825305,1.50420006278386e-31,3.20913920537494e-29,TRUE
"ENSG00000022267.19",-3.87736138676229,5.72204230656884,204.923816425108,1.62931847328055e-31,3.4351783952542e-29,TRUE
"ENSG00000170153.11",-4.20906162980651,2.53190146975856,204.929388248012,1.99845041735825e-31,4.16444534063689e-29,TRUE
"ENSG00000134201.12",-3.32585817160547,0.950481016933107,203.526521801741,2.7047244711637e-31,5.57142152272698e-29,TRUE
"ENSG00000065534.19",-3.93581991339262,7.44379025828298,202.511139223899,2.86800915639668e-31,5.84063546497555e-29,TRUE
"ENSG00000095303.17",-3.14644149208556,4.79495932578093,202.465024513695,2.92109864178788e-31,5.88191109657085e-29,TRUE
"ENSG00000168546.11",-3.39566660780837,0.209883500892042,198.067983893965,3.86323563073889e-31,7.69256063760796e-29,TRUE
"ENSG00000286039.1",-3.25319539231609,-0.859983098796736,182.58439259769,4.51759049587659e-31,8.8966746457807e-29,TRUE
"ENSG00000127074.15",-3.8513248871662,-0.451482009989363,185.406991279984,5.01600923032837e-31,9.77085884964291e-29,TRUE
"ENSG00000138944.8",-3.81818096012966,2.00951442475707,200.628492261157,5.77157291174467e-31,1.11217589410082e-28,TRUE
"ENSG00000165410.15",-3.42999101442317,4.22209180153876,197.62640033154,9.3310483103945e-31,1.77895443372957e-28,TRUE
"ENSG00000145362.20",-3.87875238627986,2.90928071037081,196.561228509502,1.33309455878761e-30,2.51477764084556e-28,TRUE
"ENSG00000229619.4",-3.2450168059796,2.08377604985515,196.417068580381,1.4970336053805e-30,2.78526267726446e-28,TRUE
