"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000173894.11",3.65734385283843,4.07578924233646,221.528823220674,4.48656270606925e-42,1.27700998975584e-40,TRUE
"ENSG00000138028.16",3.64299766167303,4.71600942392149,221.065111528144,5.21058121128693e-42,1.47843084478493e-40,TRUE
"ENSG00000135245.10",2.53203999700301,4.93539943709634,219.80854452494,8.03047325394769e-42,2.2714049075407e-40,TRUE
"ENSG00000112877.8",2.05609203866365,3.51694799414705,219.185168104819,1.030198816068e-41,2.89127537292127e-40,TRUE
"ENSG00000101115.13",4.90595833711174,2.65419680720623,217.530887065422,1.15739714095555e-41,3.24322417451639e-40,TRUE
"ENSG00000131019.11",2.26706901564079,2.7147223089992,218.310469904076,1.46471328010857e-41,4.08537466430281e-40,TRUE
"ENSG00000122641.11",5.53868057323904,5.47715046594721,218.083451292251,1.50187928045174e-41,4.16973365820041e-40,TRUE
"ENSG00000245694.10",4.9165073263988,2.95172073196242,216.394770487245,2.01170870293656e-41,5.55957539707574e-40,TRUE
"ENSG00000165905.18",4.51036125958294,5.41946516644177,214.729835361677,4.93970547766604e-41,1.33653049106791e-39,TRUE
"ENSG00000165816.13",4.01013438204968,5.73032606639509,214.41866427062,5.47080998748326e-41,1.47361281242582e-39,TRUE
"ENSG00000165480.16",2.12745792974884,4.77488240048774,214.042084242892,6.25623925902188e-41,1.67767460485996e-39,TRUE
"ENSG00000114656.12",2.9455658206692,2.77886805921198,213.807621230031,7.21932194589243e-41,1.92167930559735e-39,TRUE
"ENSG00000101224.17",2.20754064544589,7.43058994127798,211.174661355348,1.7323089180399e-40,4.50500019923068e-39,TRUE
"ENSG00000236081.1",5.03788887321562,3.15130787794098,210.431380711199,1.75719595051074e-40,4.56315511631193e-39,TRUE
"ENSG00000131389.17",2.82017266317196,6.93200820321498,206.1228460678,1.06840073526021e-39,2.67085406488147e-38,TRUE
"ENSG00000229970.3",4.82054589039955,0.0144457611117818,200.520660694188,2.1373712978968e-39,5.25589780111384e-38,TRUE
"ENSG00000006327.14",2.47547236384871,5.92176924008706,202.522888281901,3.9412577812275e-39,9.62625582944673e-38,TRUE
"ENSG00000158106.14",3.35322479870121,4.90232460555653,202.333754802571,4.26526809554027e-39,1.04035702508495e-37,TRUE
"ENSG00000171017.11",2.53480602186839,-0.331706463485452,194.574601667189,1.16198759889074e-38,2.75613698980987e-37,TRUE
"ENSG00000172164.15",2.35525153333948,5.84169867860226,197.552258214437,2.41141939131517e-38,5.61946859606489e-37,TRUE
"ENSG00000175063.17",2.16915586711721,6.51263069814008,197.546859797609,2.41269648696822e-38,5.61946859606489e-37,TRUE
"ENSG00000169247.14",3.53700489996508,4.06118021662723,196.998630957923,3.03255785394504e-38,7.0269808528465e-37,TRUE
"ENSG00000214039.9",8.96964082974191,4.37651327827893,193.779233954407,3.20939934554609e-38,7.42723223705506e-37,TRUE
"ENSG00000255650.6",3.61240088244208,0.166477743011145,191.310568838146,5.40304936995466e-38,1.23927302427107e-36,TRUE
"ENSG00000120149.9",4.88042164885678,3.94177459611972,194.22641801324,7.98855105100775e-38,1.81388281025018e-36,TRUE
"ENSG00000136982.6",2.02265972730938,3.97962808542358,193.974366208074,9.09047637918048e-38,2.05891315886351e-36,TRUE
"ENSG00000115363.14",3.86181846496302,3.33036877742912,193.223470771714,1.20878169222894e-37,2.71061045972032e-36,TRUE
"ENSG00000179431.7",3.00378299620635,2.4593329992422,191.579963496571,2.28028588902291e-37,5.03222065423689e-36,TRUE
"ENSG00000197275.14",2.12473728251648,1.58409932041125,190.953472025942,2.94858118380649e-37,6.46755537816972e-36,TRUE
"ENSG00000006118.15",2.66566292168327,5.43882183173453,189.321458599396,4.98441875983798e-37,1.06993330956427e-35,TRUE
"ENSG00000029153.14",2.51114191301838,4.85488775030168,189.283462122992,5.07260714588851e-37,1.08757178594056e-35,TRUE
"ENSG00000120708.17",3.28496282395849,9.95312534947353,187.99265939216,8.12233097411164e-37,1.72912850442984e-35,TRUE
"ENSG00000165490.13",2.02963118549816,3.39486445834815,186.732188415597,1.33764973327259e-36,2.82108299640242e-35,TRUE
