"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000165816.13",4.22277031445618,5.73348837017715,73.8765827112705,3.96246995860483e-15,1.13436779757439e-13,TRUE
"ENSG00000197905.10",2.47382173562043,5.06340325361738,73.3021407962611,4.86796322397052e-15,1.38036026798696e-13,TRUE
"ENSG00000108375.13",2.71025702664879,7.00468304203648,73.2451362616724,4.96498252609788e-15,1.39802599524161e-13,TRUE
"ENSG00000122778.10",2.25759053940639,4.94221612503145,72.1474573797611,7.38274374367523e-15,2.0449173204081e-13,TRUE
"ENSG00000112559.15",3.66169075145925,4.06760261044898,70.429500909899,1.38404490825511e-14,3.7075439164185e-13,TRUE
"ENSG00000101255.11",3.79951258731379,6.63398181875846,68.9269614961211,2.38277722273847e-14,6.18865950850669e-13,TRUE
"ENSG00000081059.20",2.14722825130798,6.14722121356165,68.0582954817853,3.27753789571169e-14,8.35515741522749e-13,TRUE
"ENSG00000015413.9",7.58110417360621,8.43614396162172,67.1991303547065,4.50827509926532e-14,1.11746608649978e-12,TRUE
"ENSG00000025772.8",2.06007561232048,6.81351192620241,66.697948556732,5.4131263285874e-14,1.3216435549675e-12,TRUE
"ENSG00000139515.6",4.5999630396288,4.39870303792977,66.3842011625144,6.11390885287979e-14,1.47664906404931e-12,TRUE
"ENSG00000170231.16",6.54966128269633,3.32430644154869,65.4171708080158,7.22698597576334e-14,1.7268642089554e-12,TRUE
"ENSG00000165905.18",4.51595862974875,5.76518638905635,65.7832248518538,7.6102115672783e-14,1.81359842416482e-12,TRUE
"ENSG00000187583.11",3.57282538228104,2.26866723408573,63.6277350847236,1.71614934405465e-13,3.9029330450258e-12,TRUE
"ENSG00000141527.18",3.59090743023077,2.28880036040751,62.7817568608209,2.35648791310423e-13,5.22656186766594e-12,TRUE
"ENSG00000172031.7",3.92257499510487,3.03887339728497,62.7054860682748,2.41916626325736e-13,5.35894667538134e-12,TRUE
"ENSG00000173894.11",3.78648544123851,4.16291436852667,62.5711826029905,2.53739337994076e-13,5.5907870610342e-12,TRUE
